time_min;T_gas_C;T_deck_C;qconv_deck_W_m2;qrad_deck_W_m2;T_hanger_C;qconv_hanger_W_m2;qrad_hanger_W_m2;T_cable_C;qconv_cable_W_m2;qrad_cable_W_m2
2,5833333333333335;480,8482751635016;80,55858670200527;9963,378193782464;11912,24936315082;69,79952348619008;8687,024360631887;10182,63709585692;31,82409235209845;6674,165530407377;7303,533120419653
2,6666666666666665;485,3889740535016;83,52207670119441;10007,242211537408;12207,665287727837;72,26632404003514;8734,78597314287;10437,896758915731;32,43708001647298;6735,362742171048;7491,349676741941
2,75;489,7961034260695;86,51955671686666;10046,67243380768;12498,415583777156;74,76374902523474;8778,856312786162;10689,382734268824;33,06002401700122;6794,278410555429;7676,78919358648
2,8333333333333335;494,07729742979745;89,54965364499964;10081,913667730072;12784,612794588427;77,29068938421865;8819,437531017738;10937,196347752239;33,69270679879564;6851,041191136024;7859,929529453716
2,9166666666666665;498,2395538632738;92,61105871664668;10113,191094619946;13066,362148803846;79,84608637445564;8856,71542096855;11181,432794244936;34,334919559178374;6905,768859465027;8040,844360423564
3,0;502,289302991853;95,70252312211086;10140,712378665678;13343,76207403491;82,42892830940436;8890,861184137386;11422,18156948404;34,986461654695226;6958,569514561431;8219,603478960133
3,0833333333333335;506,2324673062227;98,82285398825773;10164,669496743554;13616,90466686045;85,03824756888459;8922,032962002033;11659,526864824444;35,6471400653356;7009,542620057367;8396,273067034268
3,1666666666666665;510,07451361691875;101,97091067089465;10185,240332949124;13885,876123424565;87,673117848431;8950,377169418436;11893,547928490818;36,31676890897451;7058,779908613307;8570,915945992376
3,25;513,8204986348507;105,14560132949099;10202,590073650603;14150,757134459524;90,3326516215755;8976,029660080365;12124,319396540457;36,99516900006837;7106,366170619164;8743,591805378412
3,3333333333333335;517,475108991462;108,34587975595832;10216,87243263399;14411,623248188269;93,01599779264444;8999,116749032097;12351,911596444887;37,68216744748189;7152,379944521735;8914,357412705684
3,4166666666666665;521,0426964931474;111,57074243292595;10228,230730887592;14668,545204219883;95,72233952069601;9019,756112974872;12576,390825911363;38,37759728703064;7196,894123159701;9083,266805980411
3,5;524,5273092751398;114,81922580007121;10236,798851505537;14921,589241238271;98,4508921977714;9038,057585664594;12797,819609302522;39,08129714491904;7239,976488091752;9250,371470599548
3,5833333333333335;527,9327194142114;118,09040370970513;10242,702086876716;15170,817381001198;101,2009015667829;9054,12386289408;13016,256933774213;39,79311092875547;7281,690181953311;9415,720502082777
3,6666666666666665;531,2624474724937;121,38338505505759;10246,057892612658;15416,287690910822;103,97164196618178;9068,051129257856;13231,758467036352;40,512887543252575;7322,094127281839;9579,36075595099
3,75;534,519784372824;124,69731155662217;10246,976560435902;15658,054527187027;106,76241469009688;9079,92961700913;13444,376758448087;41,240480628083795;7361,243398938616;9741,336985930946
3,8333333333333335;537,707810946369;128,031355693565;10245,561820405046;15896,168760468769;109,57254645395834;9089,844105757951;13654,16142498543;41,97574831567717;7399,1895561711035;9901,691971546745
3,9166666666666665;540,829415443571;131,38471876861925;10241,9113813201;16130,677985483864;112,40138795675585;9097,874370463727;13861,159323463855;42,71855300699415;7435,980939460378;10060,466636051735
4,0;543,8873092578712;134,7566290961147;10236,117416873793;16361,626716262956;115,24831253205937;9104,09558409482;14065,414710260009;43,46876116357011;7471,6629365486515;10217,700155559234
4,083333333333333;546,8840410767281;138,14634030385915;10228,267004043912;16589,056568225988;118,11271488077635;9108,578680423501;14266,969389652637;44,22624311429174;7506,278221414515;10373,43006014501
4,166666666666667;549,8220096450009;141,55312974052214;10218,442519321723;16813,00642833717;120,99400987935476;9111,390681663974;14465,862851791786;44,99087287555808;7539,866969436545;10527,692327617828
4,25;552,7034753008451;144,97629698098825;10206,721997611969;17033,512614407242;123,8916314577819;9112,594995019981;14662,132401206984;45,762527983621474;7572,467051541642;10680,521470586651
4,333333333333333;555,5305704231138;148,41516242286906;10193,17945799642;17250,60902451607;126,80503154228957;9112,251681665093;14855,813276676208;46,54108933803495;7604,114209758354;10831,950617391696
4,416666666666667;558,3053089112316;151,86906596799793;10177,885200006118;17464,327277434342;129,7336790581689;9110,417701217515;15046,938763198896;47,32644105524657;7634,842216276182;10982,011587412315
4,5;561,0295948031132;155,33736578329757;10160,906073580842;17674,69684483848;132,67705898853137;9107,147134377583;15235,540296745085;48,118470331481106;7664,683017839775;11130,734961215612
4,583333333333333;563,7052301234963;158,8194371359115;10142,305725495391;17881,745176037195;135,63467148523702;9102,491386059864;15421,647562389839;48,91706731413741;7693,666867074481;11278,150145966281
4,666666666666667;566,3339220437125;162,31467129793927;10122,144824689622;18085,497815859817;138,60603102854998;9096,49937106301;15605,288586385204;49,72212498100717;7721,822442140384;11424,285436478829
4,75;568,9172894241423;165,82247451651622;10100,48126864433;18285,978516295243;141,59066563238525;9089,217684072204;15786,489822670983;50,5335390266893;7749,17695594058;11569,168072258271
4,833333333333333;571,4568688021396;169,34226704533845;10077,370372690651;18483,20934241535;144,58811609228033;9080,690755574837;15965,276234280036;51,351207755634704;7775,756255961795;11712,824290843952
4,916666666666667;573,9541198808918;172,87348223405724;10052,86504392003;18677,210773066436;147,5979352734669;9070,960995084512;16141,671370052452;52,175031981310106;7801,584915697574;11855,279377742594
5,0;576,4104305683087;176,41556567225953;10027,015941170863;18868,001796767778;150,61968743663562;9060,06892290778;16315,6974370361;53,00491493101725;7826,686318493725;11996,557713211456
