time_min;T_hanger;T_cable
0,0;20,0;20,0
0,08333333333333333;20,0;20,0
0,16666666666666666;20,271741890059243;20,084717022146815
0,25;20,770580060462454;20,239746825203643
0,3333333333333333;21,460651114316075;20,453743115943322
0,4166666666666667;22,312646628802618;20,717617773964623
0,5;23,302711417030864;21,024102255500583
0,5833333333333334;24,411640201131426;21,367430596279174
0,6666666666666666;25,624139542085757;21,743069298378884
0,75;26,928130966142596;22,147479039884264
0,8333333333333334;28,314119295017285;22,577908545493433
0,9166666666666666;29,77464622095567;23,03222169060803
1,0;31,30383541839446;23,50875650433787
1,0833333333333333;32,89702472460056;24,006212752577092
1,1666666666666667;34,55047509601892;24,5235638494617
1,25;36,26114400091507;25,059988735339214
1,3333333333333333;38,026511117748434;25,614819721391623
1,4166666666666667;39,844445520810254;26,18750286731882
1,5;41,71310523650915;26,777568065900127
1,5833333333333333;43,630861759086486;27,38460657257409
1,6666666666666667;45,596243643703474;28,008254204448047
1,75;47,607894585053856;28,64817883367322
1,8333333333333333;49,6645424384492;29,304071120558376
1,9166666666666667;51,76497647239183;29,97563768318346
2,0;53,908030790966414;30,662596094831198
2,0833333333333335;56,092572365281214;31,36467124968871
2,1666666666666665;58,31749249644556;32,08159275080283
2,25;60,5817008240859;32,81309306027162
2,3333333333333335;62,884121215184415;33,55890621656123
2,4166666666666665;65,22368903470543;34,31876697269451
2,5;67,59934942501663;35,092410245762956
2,5833333333333335;70,01005631550163;35,879570795749956
2,6666666666666665;72,4547719546347;36,67998307229092
2,75;74,93246680995172;37,49338118345275
2,8333333333333335;77,44211972120011;38,319498952186954
2,9166666666666665;79,98271822179987;39,15807003477344
3,0;82,55325896609696;40,00882808205648
3,0833333333333335;85,15274821661546;40,87150692913105
3,1666666666666665;87,78020235802576;41,74584080277606
3,25;90,43464841389833;42,63156453865973
3,3333333333333335;93,11512454929955;43,528413802390325
3,4166666666666665;95,82068054749843;44,43612531002497
3,5;98,55037825293671;45,354437044808215
3,5833333333333335;101,30329197550077;46,28308846778614
3,6666666666666665;104,07850885327095;47,22182072060251
3,75;106,8751291724991;48,17037681928398
3,8333333333333335;109,69226664471746;49,12850183820185
3,9166666666666665;112,52904864171587;50,09594308368706
4,0;115,38461638971931;51,07245025699643
4,083333333333333;118,25812512451158;52,05777560649711
4,166666666666667;121,14874420952913;53,05167406906585
4,25;124,05565721912467;54,05390340079911
4,333333333333333;126,97806198929882;55,06422429720598
4,416666666666667;129,91517063823835;56,08240050311424
4,5;132,86620955899716;57,108198912563836
4,583333333333333;135,83041938662134;58,141389658995344
4,666666666666667;138,80705494196107;59,18174619606549
4,75;141,7953851543367;60,2290453694392
4,833333333333333;144,79469296513892;61,28306747991985
4,916666666666667;147,80427521434686;62,34359633828696
5,0;150,82344251184782;63,41041931221424
5,083333333333333;153,85151909533744;64,4833273656422
5,166666666666667;156,8878426764753;65,56211509097761
5,25;159,93176427686598;66,64658073448905
5,333333333333333;162,98264805533245;67,736526215262
5,416666666666667;166,03987112784753;68,83175713807108
5,5;169,10282338139154;69,93208280051876
5,583333333333333;172,17090728290833;71,03731619478168
5,666666666666667;175,24353768444143;72,14727400429639
5,75;178,3201416254438;73,26177659570611
5,833333333333333;181,4001581331709;74,38064800638033
5,916666666666667;184,48303802198745;75,50371592780783
6,0;187,56824369234226;76,63081168515342
6,083333333333333;190,6552489300937;77,76177021325682
6,166666666666667;193,7435387068008;78,89643002934211
6,25;196,83260898153105;80,03463320269374
6,333333333333333;199,92196650467585;81,17622532154523
6,416666666666667;203,0111286242077;82,32105545741476
6,5;206,0996230947614;83,46897612711155
